UMAP1,UMAP2,cluster
1.1660252,2.5304484,2
0.8578822,2.0353823,2
2.613072,0.61646503,2
0.8457788,1.5590763,2
-1.3018745,5.3560634,0
0.6753086,2.2336786,2
-0.4638021,2.1155674,2
-0.6610781,2.7276213,2
1.211652,2.6696625,2
1.417377,3.5213692,2
0.206391,2.6581936,2
0.36897725,3.7606125,2
-0.16528004,0.9416182,2
0.9396107,3.398543,2
-0.45782,3.774117,0
0.67883885,2.8542662,2
1.2268088,2.2196867,2
0.32056502,3.1318865,2
0.47619855,3.1212606,2
-0.3210756,2.1346655,2
0.28832605,2.4734924,2
0.29998225,2.166977,2
0.9809693,1.6530249,2
-0.6028168,3.7105474,0
1.6448635,1.9671665,2
1.2011632,2.6671388,2
0.757508,3.1849022,2
2.2791252,1.9787554,2
2.0707364,1.6627947,2
2.1833851,2.341491,2
2.383338,1.682963,2
0.62751496,2.0113997,2
2.5378056,1.1371973,2
0.27783945,1.2042726,2
1.3342544,1.4893582,2
-2.2187629,5.6465745,0
1.4265952,1.6817604,2
0.42808774,1.9465463,2
1.5339664,1.5470883,2
2.065506,1.598418,2
2.6976092,0.8887769,2
0.30173528,0.6443381,2
0.29693437,0.9535152,2
1.5385607,3.5282795,2
-0.3339303,4.833544,0
1.0145422,2.9047341,2
-0.36702618,0.6419303,2
-1.484816,5.009508,0
1.9366399,4.755654,1
-1.0142965,5.1528544,0
-0.6247274,1.2623491,2
-0.97201145,3.8501563,0
1.1298318,2.1038084,2
0.4798245,2.273328,2
1.0570143,1.6105705,2
1.444626,2.9565883,2
0.77831346,1.9978937,2
1.7514702,2.785043,2
-2.310986,5.8381276,0
0.80226815,2.0395503,2
0.98039997,2.1807146,2
-0.8011778,5.0609593,0
0.6695147,2.0734704,2
-0.8038234,3.1657658,2
0.17730491,2.0239615,2
1.5823941,1.8592758,2
-0.26254368,4.060604,0
2.185914,1.6177568,2
-2.1589723,5.612276,0
-2.024059,5.94112,0
2.71443,0.9453643,2
-0.85021716,5.3194532,0
3.0304778,4.3667116,1
1.4165196,3.7898037,1
-0.67727643,2.8270373,2
2.339801,3.1888878,1
-0.69874644,4.3974996,0
0.15868466,1.5095135,2
-2.003442,4.963012,0
-0.79171854,5.0534444,0
2.122082,1.7968156,2
1.5023171,1.4928542,2
-1.4822574,5.5622616,0
-2.0219195,5.4622335,0
-0.40048498,2.451578,2
1.5105358,2.7780163,2
0.11871998,1.1010429,2
-0.4927512,0.6699657,2
0.77450943,1.1624274,2
-0.7840341,2.9125159,2
1.2026395,3.2083592,2
0.53006464,3.5512886,2
1.200647,1.8412807,2
2.8026478,0.9154968,2
1.2699897,2.9817696,2
-2.2249234,5.549602,0
0.34380534,1.4596405,2
-0.57037824,1.7163886,2
0.4106057,3.005668,2
-0.40808368,3.3498933,2
-1.0334793,3.8880718,0
-1.88976,5.607436,0
0.9053192,2.870768,2
0.9484182,2.6179035,2
0.23619965,4.490877,0
1.207598,3.4329813,2
1.9087282,1.2568249,2
-0.8209526,4.5186133,0
1.9253036,2.3434885,2
-2.0059295,5.344551,0
-2.3378177,5.6437407,0
1.3733228,1.7686238,2
1.1743784,1.889627,2
1.8236296,1.8360692,2
-0.14892285,4.0223637,0
0.5634736,1.7295235,2
-0.60206324,3.9030478,0
1.7999922,1.3022852,2
-0.6935272,1.5532235,2
2.6777713,0.9628351,2
2.3715076,1.5227408,2
1.84245,1.3855499,2
-0.6313494,2.9812355,2
0.64918625,1.3541751,2
0.80208856,1.3790667,2
0.23476015,3.4579093,2
1.3218211,2.5901258,2
0.82266575,2.9774263,2
-1.018631,1.0405111,2
2.502133,3.6124184,1
0.47472724,1.1705556,2
-1.9465052,4.9685035,0
-2.2241251,6.082652,0
0.37660515,2.2343917,2
1.6924095,1.6418128,2
1.2402551,2.018151,2
-0.7326065,3.0803077,2
-1.5607363,5.306009,0
0.649295,5.233364,0
1.0587121,3.5375845,2
2.338532,2.883745,1
2.387426,3.1261742,1
-1.0481324,2.8354213,2
2.1655633,3.1258307,1
-0.5219935,4.063725,0
1.3214844,2.5630248,2
0.80270475,1.6100553,2
-2.0402224,5.646554,0
0.25923458,2.2773848,2
0.40156326,2.4990482,2
1.5598469,3.0791597,2
1.4414208,2.7223134,2
2.827166,0.7427712,2
1.3431234,2.615705,2
1.279613,2.4835482,2
0.28590336,3.886935,0
-0.105651826,2.1663952,2
1.8123399,3.0734625,2
1.5422924,2.2355425,2
0.34774125,1.8613201,2
0.4854927,1.822098,2
1.3737701,2.929349,2
0.152999,4.6572776,0
1.6973101,3.1398408,2
-2.0866168,5.628835,0
1.402159,2.170992,2
-1.2310659,4.981817,0
0.25962797,2.365298,2
0.21546227,2.2288182,2
1.5216079,2.7399294,2
1.346105,2.476933,2
1.5862591,2.7540977,2
0.91864574,3.192537,2
3.4477627,3.678158,1
1.1270877,3.0102365,2
-1.5480976,5.701472,0
2.1561754,2.958844,1
0.5589985,2.7259786,2
0.4329936,2.796127,2
-2.092541,6.043688,0
2.5318372,2.3365943,2
