UMAP1,UMAP2
1.0573828,1.5158144
0.49996862,1.0003561
0.34228,1.9047302
-0.3322662,0.70938265
1.0597686,1.2488558
0.35223043,1.6019354
0.30855298,1.1719121
0.4824617,1.0257818
-0.13133001,2.5537624
1.8507663,2.0150301
0.61565214,2.4630349
1.1604236,3.7949774
1.288973,1.6081265
0.7459957,3.119863
1.1766783,1.8976228
-1.0567362,2.2987905
0.15290923,3.4130776
1.1212739,3.7176604
-0.21793832,2.3344522
1.2174295,1.3764759
0.97610104,3.4036872
-0.90469867,5.0963073
-0.07499603,3.3090243
0.97883356,3.6817381
-0.72249395,3.1839721
0.57437116,3.6327488
0.33789766,1.8511211
-1.6283181,5.252591
1.5064318,1.5883632
-2.1805391,5.5890536
1.2019976,2.392558
1.4242587,1.9853805
1.8191463,1.6740421
0.870711,1.2891097
-2.1198337,5.880372
1.335389,1.739346
0.62221354,2.1299477
1.8242177,1.8244051
1.451734,2.6394374
-0.5850133,3.5893333
1.034569,2.502813
1.7652597,2.2985296
0.9220839,1.5671362
-0.69583726,4.6807823
0.22918181,3.397068
1.0336403,2.5965073
0.9017575,1.8505616
-2.2380533,5.792429
-0.08006042,3.597579
0.4178766,0.95847595
-0.9313879,4.8059464
1.2548689,5.92508
0.78364515,2.1047583
-0.109813266,1.3793738
0.42226365,2.4638581
0.75701094,1.4339797
2.706195,0.69452745
1.1660252,2.5304484
0.8578822,2.0353823
2.613072,0.61646503
0.8457788,1.5590763
-1.3018745,5.3560634
0.6753086,2.2336786
-0.4638021,2.1155674
-0.6610781,2.7276213
1.211652,2.6696625
1.417377,3.5213692
0.206391,2.6581936
0.36897725,3.7606125
-0.16528004,0.9416182
0.9396107,3.398543
-0.45782,3.774117
0.67883885,2.8542662
1.2268088,2.2196867
0.32056502,3.1318865
0.47619855,3.1212606
-0.3210756,2.1346655
0.28832605,2.4734924
0.29998225,2.166977
0.9809693,1.6530249
-0.6028168,3.7105474
1.6448635,1.9671665
1.2011632,2.6671388
0.757508,3.1849022
2.2791252,1.9787554
2.0707364,1.6627947
2.1833851,2.341491
2.383338,1.682963
0.62751496,2.0113997
2.5378056,1.1371973
0.27783945,1.2042726
1.3342544,1.4893582
-2.2187629,5.6465745
1.4265952,1.6817604
0.42808774,1.9465463
1.5339664,1.5470883
2.065506,1.598418
2.6976092,0.8887769
0.30173528,0.6443381
0.29693437,0.9535152
1.5385607,3.5282795
-0.3339303,4.833544
1.0145422,2.9047341
-0.36702618,0.6419303
-1.484816,5.009508
1.9366399,4.755654
-1.0142965,5.1528544
-0.6247274,1.2623491
-0.97201145,3.8501563
1.1298318,2.1038084
0.4798245,2.273328
1.0570143,1.6105705
1.444626,2.9565883
0.77831346,1.9978937
1.7514702,2.785043
-2.310986,5.8381276
0.80226815,2.0395503
0.98039997,2.1807146
-0.8011778,5.0609593
0.6695147,2.0734704
-0.8038234,3.1657658
0.17730491,2.0239615
1.5823941,1.8592758
-0.26254368,4.060604
2.185914,1.6177568
-2.1589723,5.612276
-2.024059,5.94112
2.71443,0.9453643
-0.85021716,5.3194532
3.0304778,4.3667116
1.4165196,3.7898037
-0.67727643,2.8270373
2.339801,3.1888878
-0.69874644,4.3974996
0.15868466,1.5095135
-2.003442,4.963012
-0.79171854,5.0534444
2.122082,1.7968156
1.5023171,1.4928542
-1.4822574,5.5622616
-2.0219195,5.4622335
-0.40048498,2.451578
1.5105358,2.7780163
0.11871998,1.1010429
-0.4927512,0.6699657
0.77450943,1.1624274
-0.7840341,2.9125159
1.2026395,3.2083592
0.53006464,3.5512886
1.200647,1.8412807
2.8026478,0.9154968
1.2699897,2.9817696
-2.2249234,5.549602
0.34380534,1.4596405
-0.57037824,1.7163886
0.4106057,3.005668
-0.40808368,3.3498933
-1.0334793,3.8880718
-1.88976,5.607436
0.9053192,2.870768
0.9484182,2.6179035
0.23619965,4.490877
1.207598,3.4329813
1.9087282,1.2568249
-0.8209526,4.5186133
1.9253036,2.3434885
-2.0059295,5.344551
-2.3378177,5.6437407
1.3733228,1.7686238
1.1743784,1.889627
1.8236296,1.8360692
-0.14892285,4.0223637
0.5634736,1.7295235
-0.60206324,3.9030478
1.7999922,1.3022852
-0.6935272,1.5532235
2.6777713,0.9628351
2.3715076,1.5227408
1.84245,1.3855499
